web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705482488-1","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Underwear Tanktop T-Shirt Wanita Simple Lace 116061272","35.960","50 Terjual"
"1705482488-2","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Wanita Print Truth Over Lie 116982287","51.960","38 Terjual"
"1705482488-3","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Tanktop Kaos Halter Wanita 115960061","51.960","115 Terjual"
"1705482488-4","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Tanktop Kaos Basic Rib Wanita 115960052","51.960","80 Terjual"
"1705482488-5","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Pocket Smile Kaos Wanita 115547008","55.960","38 Terjual"
"1705482488-6","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Ov Dreamer Wanita 116982170","55.960","91 Terjual"
"1705482488-7","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Wanita Happiness Bloom 116789166","55.960","59 Terjual"
"1705482488-8","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Usa College Sport Wanita 116982296","63.960","68 Terjual"
"1705482488-9","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Wanita Sabrina Kantong Textured 115911560","63.960","46 Terjual"
"1705482488-10","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","American Jeans Kaos Logo Aj Floral Wanita 117751604","63.960","26 Terjual"
"1705482488-11","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Boxy Loose Kaos Wanita 116102370","63.960","61 Terjual"
"1705482488-12","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Work Wanita White 117745817","63.960","44 Terjual"
"1705482488-13","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Crepe Flowy Kaos Wanita 117056900","63.960","32 Terjual"
"1705482488-14","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Boxy Tee Kaos Casual Wanita 117790410","65.940","45 Terjual"
"1705482488-15","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Lengan Pendek Wanita Rolled Up Sleeve 1 - 115414839","69.930","610 Terjual"
